MaDanhMuc,TenDanhMuc
DM033,Danh Mục Dịch Vụ 33 - Realigned needs-based forecast
DM034,Danh Mục Dịch Vụ 34 - Multi-channeled non-volatile customer loyalty
DM035,Danh Mục Dịch Vụ 35 - Open-architected bifurcated hierarchy
DM036,Danh Mục Dịch Vụ 36 - Mandatory bifurcated definition
DM037,Danh Mục Dịch Vụ 37 - Robust transitional approach
DM038,Danh Mục Dịch Vụ 38 - Optional well-modulated application
DM039,Danh Mục Dịch Vụ 39 - Synergistic regional leverage
DM040,Danh Mục Dịch Vụ 40 - Decentralized client-server conglomeration
DM041,Danh Mục Dịch Vụ 41 - Stand-alone user-facing ability
DM042,Danh Mục Dịch Vụ 42 - Secured solution-oriented frame
DM043,Danh Mục Dịch Vụ 43 - Stand-alone asymmetric flexibility
DM044,Danh Mục Dịch Vụ 44 - Compatible 24hour Internet solution
DM045,Danh Mục Dịch Vụ 45 - Grass-roots context-sensitive solution
DM046,Danh Mục Dịch Vụ 46 - Progressive responsive service-desk
DM047,Danh Mục Dịch Vụ 47 - Ergonomic analyzing focus group
DM048,Danh Mục Dịch Vụ 48 - Polarized empowering architecture
DM049,Danh Mục Dịch Vụ 49 - Profound web-enabled toolset
DM050,Danh Mục Dịch Vụ 50 - Right-sized full-range moratorium
DM051,Danh Mục Dịch Vụ 51 - Pre-emptive asymmetric forecast
DM052,Danh Mục Dịch Vụ 52 - Pre-emptive exuding initiative
DM053,Danh Mục Dịch Vụ 53 - Open-architected exuding neural-net
DM054,Danh Mục Dịch Vụ 54 - Organized asynchronous functionalities
DM055,Danh Mục Dịch Vụ 55 - Function-based clear-thinking capacity
DM056,Danh Mục Dịch Vụ 56 - Switchable clear-thinking archive
DM057,Danh Mục Dịch Vụ 57 - Organic hybrid projection
DM058,Danh Mục Dịch Vụ 58 - Monitored leadingedge artificial intelligence
DM059,Danh Mục Dịch Vụ 59 - Grass-roots object-oriented throughput
DM060,Danh Mục Dịch Vụ 60 - Devolved even-keeled synergy
DM061,Danh Mục Dịch Vụ 61 - Public-key motivating hierarchy
DM062,Danh Mục Dịch Vụ 62 - Fully-configurable 5thgeneration standardization
DM063,Danh Mục Dịch Vụ 63 - Focused next generation matrix
DM064,Danh Mục Dịch Vụ 64 - Compatible motivating flexibility
DM065,Danh Mục Dịch Vụ 65 - Open-source system-worthy challenge
DM066,Danh Mục Dịch Vụ 66 - Organized eco-centric capacity
DM067,Danh Mục Dịch Vụ 67 - Focused radical hierarchy
DM068,Danh Mục Dịch Vụ 68 - Progressive bifurcated functionalities
DM069,Danh Mục Dịch Vụ 69 - Inverse modular circuit
DM070,Danh Mục Dịch Vụ 70 - Adaptive attitude-oriented initiative
DM071,Danh Mục Dịch Vụ 71 - Sharable systemic solution
DM072,Danh Mục Dịch Vụ 72 - Open-architected homogeneous orchestration
DM073,Danh Mục Dịch Vụ 73 - Self-enabling value-added software
DM074,Danh Mục Dịch Vụ 74 - Profit-focused local definition
DM075,Danh Mục Dịch Vụ 75 - Face-to-face cohesive solution
DM076,Danh Mục Dịch Vụ 76 - Digitized user-facing ability
DM077,Danh Mục Dịch Vụ 77 - Managed fault-tolerant access
DM078,Danh Mục Dịch Vụ 78 - Public-key tangible data-warehouse
DM079,Danh Mục Dịch Vụ 79 - Robust clear-thinking concept
DM080,Danh Mục Dịch Vụ 80 - Ergonomic needs-based adapter
DM081,Danh Mục Dịch Vụ 81 - Compatible bottom-line attitude
DM082,Danh Mục Dịch Vụ 82 - Object-based national middleware
DM083,Danh Mục Dịch Vụ 83 - Business-focused scalable function
DM084,Danh Mục Dịch Vụ 84 - Open-architected clear-thinking focus group
DM085,Danh Mục Dịch Vụ 85 - Self-enabling cohesive service-desk
DM086,Danh Mục Dịch Vụ 86 - Secured system-worthy architecture
DM087,Danh Mục Dịch Vụ 87 - Inverse needs-based parallelism
DM088,Danh Mục Dịch Vụ 88 - Intuitive solution-oriented process improvement
DM089,Danh Mục Dịch Vụ 89 - Horizontal 3rdgeneration alliance
DM090,Danh Mục Dịch Vụ 90 - Expanded bifurcated core
DM091,Danh Mục Dịch Vụ 91 - Ameliorated composite archive
DM092,Danh Mục Dịch Vụ 92 - Enhanced next generation budgetary management
DM093,Danh Mục Dịch Vụ 93 - Diverse interactive standardization
DM094,Danh Mục Dịch Vụ 94 - Future-proofed homogeneous hub
DM095,Danh Mục Dịch Vụ 95 - Fully-configurable optimal focus group
DM096,Danh Mục Dịch Vụ 96 - Distributed exuding firmware
DM097,Danh Mục Dịch Vụ 97 - Visionary impactful throughput
DM098,Danh Mục Dịch Vụ 98 - Diverse stable conglomeration
DM099,Danh Mục Dịch Vụ 99 - Polarized context-sensitive forecast
DM100,Danh Mục Dịch Vụ 100 - Organized mobile leverage
